Country;Year;Medals Won;Medals Last Year;GDP;Populatie;Land in Km2;HostCountry
Lithuania;2012;5;5;43200000000;3180394;65300;0
Lithuania;2016;4;5;42739000000;2910199;65300;0
Liechtenstein;2004;0;0;825000000;33436;160;0
Liechtenstein;2008;0;0;5081432924;34247;160;0
Liechtenstein;2012;0;0;5080000000;36476;160;0
Liechtenstein;2016;0;0;5488000000;37531;160;0
Libya;2004;0;0;35000000000;5631585;1759540;0
Libya;2008;0;0;87140405361;6036914;1760000;0
Libya;2012;0;0;87140405361;6469000;1759540;0
Libya;2016;0;0;29153000000;6278438;1759540;0
Liberia;2004;0;0;3261000000;3390635;111369;0
Liberia;2008;0;0;1726000000;3195931;96320;0
Liberia;2012;0;0;1200000000;4245000;111369;0
Liberia;2012;0;0;1200000000;4245000;923768;0
Liberia;2016;0;0;2101000000;4503438;111369;0
Lesotho;2004;0;0;5594000000;1865040;30355;0
Lesotho;2008;0;0;1758534995;2125262;30350;0
Lesotho;2012;0;0;2700000000;2217000;30355;0
Lesotho;2016;0;0;2200000000;2135022;30355;0
Lebanon;2004;0;0;17820000000;3777218;10452;0
Lebanon;2008;0;0;29118916106;3925502;10230;0
Lebanon;2012;0;0;41500000000;4292000;10452;0
Lebanon;2016;0;0;47537000000;5850743;10452;0
Latvia;2004;4;3;23770000000;2306306;64559;0
Latvia;2008;3;4;35756225698;2259810;62250;0
Latvia;2012;0;3;27400000000;2070371;64559;0
Latvia;2016;0;0;27677000000;1978440;64559;0
Laos;2004;0;0;1034000000;6068117;236800;0
Laos;2008;0;0;5444000000;6521998;230800;0
Laos;2012;0;0;7900000000;6465800;236800;0
Laos;2016;0;0;1590300000;6802023;236800;0
Kyrgyzstan;2004;0;1;7725000000;5081429;199951;0
Kyrgyzstan;2008;3;0;5139957785;5284149;191800;0
Kyrgyzstan;2012;0;3;5400000000;5477600;199951;0
Kyrgyzstan;2016;0;0;6551000000;5957000;199951;0
Kuwait;2004;0;1;395400000000;2257549;17818;0
Kuwait;2008;0;0;147395000000;2505559;17820;0
Kuwait;2012;0;0;171100000000;3582054;17818;0
Kosovo;2004;0;0;6700000000;;10887;0
Kosovo;2012;0;0;6700000000;0;10887;0
Kosovo;2016;1;0;7047000000;1816000;10887;0
Kiribati;2004;0;0;79000000;100798;811;0
Kiribati;2008;0;0;1410426103;107817;810;0
Kiribati;2012;0;0;200000000;103000;811;0
Kiribati;2016;0;0;166000000;112524;811;0
Kenya;2004;7;7;33090000000;32021856;580367;0
Kenya;2008;16;7;35895153328;36913721;569140;0
Kenya;2012;13;16;36100000000;38610097;580367;0
Kenya;2016;13;13;70529000000;46050302;580367;0
Kazakhstan;2004;8;7;105300000000;15143704;2724900;0
Kazakhstan;2008;9;8;133442000000;15284929;2700000;0
Kazakhstan;2012;11;9;180100000000;16815000;2724900;0
Kazakhstan;2016;18;11;133657000000;17544126;2724900;0
Jordan;2004;0;0;23640000000;5611202;89342;0
Jordan;2008;0;0;22657662395;6053193;88240;0
Jordan;2012;0;0;28400000000;6374500;89342;0
Jordan;2016;1;0;38655000000;7594547;89342;0
Japan;2004;37;18;3567000000000;127333002;377976;0
Japan;2008;25;37;5037910000000;127433494;364500;0
Japan;2012;38;25;5855000000000;127530000;377975;0
Japan;2016;41;38;4939380000000;126958472;377975;0
Jamaica;2004;5;9;10210000000;2713130;10991;0
Jamaica;2008;11;5;13709402085;2780132;10830;0
Jamaica;2012;12;11;14700000000;2709300;10991;0
Jamaica;2016;11;12;14027000000;2725941;10991;0
Ivory Coast;2004;0;0;2422000000;;322463;0
Ivory Coast;2008;0;0;2422000000;19610000;322463;0
Ivory Coast;2012;0;0;5000000000;21395000;322463;0
Italy;2004;32;34;1552000000000;58057477;301339;0
Italy;2008;27;32;2398860000000;58147733;294140;0
Italy;2012;28;27;2246000000000;60849247;301339;0
Italy;2016;28;28;1849970000000;60802085;301339;0
Israel;2004;0;1;120600000000;6199008;20770;0
Israel;2008;1;0;216105000000;6426679;21640;0
Israel;2012;0;1;245300000000;7941900;20770;0
Israel;2016;2;0;318744000000;8380400;20770;0
Ireland;2004;0;1;117000000000;3969558;70273;0
Ireland;2008;3;0;275039000000;4109086;68890;0
Ireland;2012;6;3;222300000000;4588252;103000;0
Ireland;2012;6;6;222300000000;4588252;70273;0
Ireland;2016;2;6;294054000000;4726000;84421;0
Iraq;2004;0;0;38790000000;25374691;438317;0
Iraq;2008;0;0;131614000000;27499638;437370;0
Iraq;2012;0;0;108600000000;33330000;1648195;0
Iraq;2012;0;0;108600000000;33330000;438317;0
Iraq;2016;0;0;171489000000;36423395;438317;0
Iran;2004;6;4;477800000000;69018924;1648195;0
Iran;2008;2;6;412336000000;65397521;1648000;0
Iran;2012;13;2;480300000000;75149669;1648195;0
Iran;2016;8;13;425326000000;79109272;1648195;0
Indonesia;2004;4;6;758100000000;238452952;1910931;0
Indonesia;2008;6;4;510229000000;234693997;1810000;0
Indonesia;2012;0;6;834300000000;237641326;1910931;0
Indonesia;2016;3;0;932259000000;257563815;1910931;0
India;2004;0;1;3022000000000;1065070607;3287263;0
India;2008;3;0;1198900000000;1129866154;2970000;0
India;2012;6;3;1843000000000;1210193422;3287263;0
India;2016;2;6;2263520000000;1311050527;3287263;0
Iceland;2004;0;0;8678000000;293966;103000;0
Iceland;2008;1;0;17905251723;301931;100250;0
Iceland;2012;0;1;14100000000;320060;103000;0
Iceland;2016;0;0;20047000000;330823;103000;0
Hungary;2004;17;17;139700000000;10032375;93028;0
Hungary;2008;10;17;158136000000;9956108;89610;0
Hungary;2012;18;10;147900000000;9957731;93028;0
Hungary;2016;15;18;124343000;9830000;93030;0
Hong Kong, China;2012;0;0;0;0;2755;0
Hong Kong;2004;1;0;212200000000;6855125;;0
Hong Kong;2008;0;0;219280000000;6980412;1106;0
Hong Kong;2016;0;0;320912000;7337000;1106;0
Honduras;2004;0;0;17460000000;6823568;112492;0
Honduras;2008;0;0;13881701034;7483763;111890;0
Honduras;2012;0;0;17300000000;8385072;112492;0
Honduras;2016;0;0;21517000;8075060;112492;0
Haiti;2004;0;0;12180000000;7656166;27750;0
Haiti;2008;0;0;10386485528;8706497;27560;0
Haiti;2012;0;0;7400000000;10085214;27750;0
Haiti;2016;0;0;8023000;10711067;27750;0
Guyana;2004;0;0;2792000000;705803;214969;0
Guyana;2008;0;0;3025189399;769095;196850;0
Guyana;2012;0;0;2500000000;784894;214969;0
Guyana;2012;0;0;2500000000;784894;238533;0
Guyana;2016;0;0;3446000;767085;214969;0
Guinea-Bissau;2004;0;0;1164000000;1388363;36125;0
Guinea-Bissau;2008;0;0;8681547085;1472780;28120;0
Guinea-Bissau;2012;0;0;1000000000;1520830;36125;0
Guinea-Bissau;2016;0;0;1126000;1782000;36125;0
Guinea;2004;0;0;18870000000;9246462;245857;0
Guinea;2008;0;0;6964179194;9947814;245720;0
Guinea;2012;0;0;4600000000;10824200;245857;0
Guinea;2016;0;0;6299000000;12608590;245857;0
Guatemala;2004;0;0;56530000000;14280596;108889;0
Guatemala;2008;0;0;39136436614;12728111;107160;0
Guatemala;2012;0;0;46700000000;14713763;108889;0
Guatemala;2016;0;0;68763000000;16342897;108889;0
Guam;2004;0;0;3200000000;166090;;0
Guam;2008;0;0;4621000000;173456;540;0
Guam;2012;0;0;NA;0;549;0
